titulo;categoria;macrocategoria;disponibles;precio_original;precio_oferta;porcentaje_descuento;autor;editorial;encuadernacion;peso_kg;largo;ancho;grosor;ano_edicion;paginas;descripcion;link;volumen
hitler y stalin : dos dictadores y la segunda guerra mundial;historia universal;historia;7;37900,0;30300,0;0,2;rees, laurence;critica;tapa dura;1,129;23,0;15,5;4,3;2022,0;616,0;HITLER Y STALIN : DOS DICTADORES Y LA SEGUNDA GUERRA MUNDIALEsta es una obra maestra de uno de nuestros mejores historiadores.Este libro sobre Hitler y Stalin–la culminación de treinta años de trabajo—examina a los dos líderes durante la segunda guerra mundial, cuando Alemania y la Unión Soviética libraron la mayor y más sangrienta guerra de la historia, y nos muestra que, aunque la creación del Holocausto por parte de Hitler sigue siendo un crimen incomparable, vistos con perspectiva ambos tenían en común que estaban preparados para crear un sufrimiento inimaginable para construir las utopías que querían.Utilizando testimonios inéditos y sorprendentes de soldados del Ejército Rojo y de la Wehrmacht, de civiles que sufrieron durante el conflicto y de personas que conocieron personalmente a ambos hombres, Laurence Rees–probablemente el historiador que ha conocido a más alemanes y rusos que trabajaron directamente para Hitler y Stalin—pone en tela de juicio ideas erróneas que durante mucho tiempo se han mantenido sobre dos de las figuras más importantes de la historia. Esta es una obra maestra de uno de nuestros mejores historiadores.AdquieraHITLER Y STALIN : DOS DICTADORES Y LA SEGUNDA GUERRA MUNDIALen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788491993902-hitler-y-stalin-dos-dictadores-y-la-segunda-guerra-mundial/;1532,95
el pistolero : la torre oscura i;narrativa fantastica;literatura narrativa fantastica;2;12000,0;9000,0;0,25;king, stephen;debolsillo;rustico/bolsillo;0,22;19,0;12,5;1,0;2016,0;286,0;EL PISTOLERO : LA TORRE OSCURA IEn un mundo extrañamente parecido al nuestro Roland Deschain de Gilead persigue a su enemigo, el hombre de negro. Roland, solitario, quizá maldito, anda sin descanso a través de un paisaje triste y abandonado. Conoce a Jake, un chico de Nueva York pero de otro tiempo, y ambos unen sus destinos. Ante ellos están las montañas. Y mucho más allá, la Torre Oscura…AdquieraEL PISTOLERO : LA TORRE OSCURA Ien nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788466341295-el-pistolero-la-torre-oscura-i/;237,5
aventuras de la mano negra, las;novelas ilustradas;libros juveniles;4;20900,0;16700,0;0,2;jurgen, hans;destino ediciones;tapa dura;0,49;22,0;14,5;1,0;2022,0;206,0;AVENTURAS DE LA MANO NEGRA, LASRelanzamiento de todo un clásico que ha cautivado a miles de lectores, generación tras generación. Con una nueva presentación, en tapa dura y con un interior renovado sin perder el aire clásico que le caracteriza, recuperamos las aventuras que vivieron los chicos de la mano negra y nos sentiremos como auténticos detectives resolviendo los enigmas que se nos plantean página tras página.AdquieraAVENTURAS DE LA MANO NEGRA, LASen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788408252283-aventuras-de-la-mano-negra-las/;319,0
la cruz ardiente;novela romantica;literatura novela romantica;15;21000,0;15750,0;0,25;gabaldon, diana;salamandra;rustico;1,29;22,0;14,0;1,0;2022,0;1328,0;LA CRUZ ARDIENTEDividida entre salvar a su marido de los peligros que se avecinan, o por el contrario contribuir a provocar el estallido de la violencia entre la Corona inglesa y las trece colonias norteamericanas, Claire vive otra vez el dilema de quien, aun conociendo los acontecimientos del futuro, tiene que adaptarse a su vida del presente. Nacida en 1918 en Inglaterra, Claire Randall sirvió como enfermera en la Segunda Guerra Mundial.Terminado el conflicto, un extraordinario viaje en el tiempo la trasladó a las Tierras Altas escocesas en 1743, y pese a haberse convertido en esposa de Jamie Fraser, y más tarde en madre y cirujana, Claire continúa sintiéndose extranjera, fuera de su lugar y de su tiempo.AdquieraLA CRUZ ARDIENTEen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789878000237-la-cruz-ardiente/;308,0
en el corazon de la isla de fuego;novela romantica;literatura novela romantica;3;15000,0;11250,0;0,25;vasseler, nicole;ediciones b;rustico;0,54;21,5;14,0;1,0;2016,0;557,0;EN EL CORAZON DE LA ISLA DE FUEGOÁmsterdam, 1882. En el barco de Ámsterdam a Batavia, antigua Indonesia, dos mujeres muy distintas traban una bonita amistad: Jacobina, hija de buena familia, y Floortje, una chica enérgica de origen humilde. Ambas sueñan con la felicidad y quieren dejarse embriagar por la belleza del trópico, que imaginan como el paraíso.Sin embargo, poco a poco el Jardín del Edén revela sus profundidades, el volcán Krakatoa -hasta entonces tan pacífico- entra en erupción, y para sobrevivir las dos amigas deben librar una batalla a vida o muerte…AdquieraEN EL CORAZON DE LA ISLA DE FUEGOen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788490701881-en-el-corazon-de-la-isla-de-fuego/;301,0
la virgen de los sicarios;novela negra;literatura novela negra;3;12000,0;9000,0;0,25;vallejo, fernando;debolsillo;rustico/bolsillo;0,11;19,0;13,0;1,0;2016,0;144,0;LA VIRGEN DE LOS SICARIOSEn el resquebrajamiento de una sociedad que ha cortado con sus valores y su pasado, en que los asesinos contratados o sicarios son niños, y en que la impunidad es la norma y la violencia el aire que se respira, por las atestadas calles de Medellín, entre una multitud maldiciente de desempleados y mendigos, de ladrones y atracadores, vendedores ambulantes y fumadores de bazuco, van el narrador loco o lúcido y su amante, un adolescente asesino, tratando de ponerle remedio por las malas a lo que no lo tiene. Cuando ya no queda sino rezar y rociar con agua bendita las balas, la iglesita perdida de María Auxiliadora en el pueblo de Sabaneta se vuelve un santuario de peregrinación de los sicarios y a la vez una referencia para las páginas alucinadas de esta novela. «La Virgen de los sicarios es el más bello y delirante canto de amor y de perdición que nos ha dado desde hace mucho la literatura».AdquieraLA VIRGEN DE LOS SICARIOSen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789588940311-la-virgen-de-los-sicarios/;247,0
politica para amador;ensayos;politica;5;19500,0;15600,0;0,2;savater, fernando;ariel;rustico;0,3;23,0;14,5;1,0;2021,0;200,0;POLITICA PARA AMADOR¿Qué significa hoy la política? Nueva presentación de este clásico del pensamiento.Publicado hace casi 30 años, este clásico del pensamiento conserva hoy toda su vigencia.Se dice que los jóvenes pasan actualmente de la política. Pero ¿qué sabe un joven de política? Aparte de los escándalos aireados por la prensa, las zancadillas que los partidos se ponen unos a otros y las exaltadas prédicas utópicas de los demagogos, saben muy pocas cosas más. En este libro se plantean de forma elemental pero rigurosa las cuestiones básicas que interesan a la filosofía política, tanto a nivel teórico como práctico: qué significa la libertad, cuáles son las formas de igualdad, a qué solidaridad puede aspirarse…Fernando Savater nos habla de los fundamentos que tienen las organizaciones sociales, pero también de cuestiones inmediatas como el militarismo, la corrupción, el racismo, la ecología…Y además incorpora un singular diccionario político.AdquieraPOLITICA PARA AMADORen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788434433830-politica-para-amador/;333,5
el mago de oz;clasicos universales;literatura clasicos universales;2;13000,0;9750,0;0,25;baum, lyman frank;debolsillo;rustico/bolsillo;0,255;19,0;12,5;1,0;2012,0;256,0;EL MAGO DE OZ«L. Frank Baum ha llenado nuestro siglo, de principio a fin, de ingenuos  gozos e insospechados deleites.» Ray Bradbury Arrancada d e su hogar en Kansas por un tornado, la pequeña Dorothy aterriza en un  lugar desconocido junto a su perro Toto. La única persona c apaz de devolverla a casa es el Mago de Oz, que vive en la Ciudad  Esmeralda. Así empieza la travesía de Dorothy por un país maravi lloso, una aventura plagada de obstáculos y peligros en la que contará  con inestimables aliados: un espantapájaros sin cerebro, un  león sin coraje y un hombre de hojalata sin corazón. Ciento once años  después de su publicación original, y al medio siglo de su primera edición de bolsillo, restauramos el esplendor de El Mago de Oz  con un prólogo iluminador y las ilustraciones que la han ac ompañado desde sus inicios. L. Frank Baum (1856-1919) es probablemente  el creador del primer cuento de hadas genuinamente estadoun idense, El Mago de Oz, que ha marcado el compás de las lecturas  incipientes a decenas de generaciones de lectores. Prólogo de Jame s Thurber Ilustraciones de W. W. Denslow Traducción de Herminia DauerAdquieraEL MAGO DE OZen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9788499893877-el-mago-de-oz/;237,5
club de las 5 de la manana, el;autoayuda;autoayuda;40;12000,0;9000,0;0,25;sharma, robin;debolsillo;rustico;0,35;19,0;12,5;1,0;2021,0;400,0;CLUB DE LAS 5 DE LA MAÑANA, ELRobin Sharma es uno de los mayores expertos mundiales en liderazgo y desempeño. Desarrolló el concepto del Club de las 5 de la mañana hace más de veinte años a partir de los revolucionarios hábitos que han permitido a sus clientes incrementar su productividad, mejorar su salud y afrontar con serenidad la extremadamente compleja época en que vivimos. Este libro, de profundo impacto personal, nos descubrirá las rutinas que han hecho posible que muchas personas alcancen grandes resultados al tiempo que nuestra felicidad y vitalidad aumenta. A través de una entretenida historia de dos personas que conocen al mismo tiempo a un excéntrico magnate que termina por convertirse en su mentor, El Club de las 5 de la mañana nos muestra: – Una forma de aprovechar las mañanas para conseguir unos resultados extraordinarios. – Una fórmula poco conocida para despertarse temprano con buen ánimo y la energía necesaria para aprovechar el día al máximo. – Un método para dedicar las horas más tranquilas del día a hacer ejercicio, renovarse y crecer como persona. – Un hábito científicamente probado que nos permitirá levantarnos mientras los demás siguen durmiendo y disponer así de unas horas preciosas para pensar, potenciar nuestra creatividad y empezar el día con calma y sin prisas. – Unas tácticas poco conocidas para proteger nuestro talento de la distracción digital.AdquieraCLUB DE LAS 5 DE LA MAÑANA, ELen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789563254990-club-de-las-5-de-la-manana-el/;237,5
escrito con la sangre de mi corazon;novela romantica;literatura novela romantica;5;20000,0;15000,0;0,25;gabaldon, diana;salamandra;rustico;1,115;22,0;14,0;5,0;2020,0;1168,0;ESCRITO CON LA SANGRE DE MI CORAZONJunio de 1778. El orden del mundo parece haber sido profundamente trastocado. El ejército inglés se retira de Filadelfia perseguido por George Washington, y por primera vez desde el inicio de la contienda da la impresión de que los rebeldes pueden ganar. En ese entorno tumultuoso, Claire y su familia deben afrontar múltiples trastornos y dificultades. El anterior marido de Claire, Jamie, al que se daba por muerto, ha regresado y le exige una explicación de por qué, en su ausencia, se casó con su mejor amigo, lord John Grey. El hijo de éste, el noveno conde de Ellesmere, descubre con igual estupefacción que su verdadero padre es el resucitado Jamie Fraser, y el sobrino de Jamie, Ian Murray, se entera de que su recién descubierto primo se ha enamorado de la mujer con la que él pretende casarse. Mientras Claire vive con el miedo de que uno de sus maridos mate al otro en cualquier momento, sus descendientes en el siglo xx tienen que enfrentarse a unos acontecimientos aún más apremiantes, pues a su hija Brianna la acosa un implacable criminal después de que su marido, Roger, haya desaparecido en el tiempo.AdquieraESCRITO CON LA SANGRE DE MI CORAZONen nuestros locales y en nuestra tienda virtual.No olvide aprovechar nuestras grandes promociones en este enlace deOfertasSíguenos en nuestras redes socialesInstagram,FacebookyTwitter.;https://feriachilenadellibro.cl/producto/9789878000480-escrito-con-la-sangre-de-mi-corazon/;1540,0
